Zip Code,Bedrooms,Payment Standard
44017,0,"$1,068"
44017,1,"$1,212"
44017,2,"$1,464"
44017,3,"$1,884"
44017,4,"$2,016"
44017,5,"$2,318"
44017,6,"$2,620"
44017,7,"$2,923"
44017,8,"$3,225"
44017,9,"$3,528"
44022,0,"$1,440"
44022,1,"$1,620"
44022,2,"$1,968"
44022,3,"$2,532"
44022,4,"$2,712"
44022,5,"$3,118"
44022,6,"$3,525"
44022,7,"$3,932"
44022,8,"$4,339"
44022,9,"$4,746"
44040,0,"$1,584"
44040,1,"$1,788"
44040,2,"$2,172"
44040,3,"$2,796"
44040,4,"$3,000"
44040,5,"$3,450"
44040,6,"$3,900"
44040,7,"$4,350"
44040,8,"$4,800"
44040,9,"$5,250"
44070,0,"$1,140"
44070,1,"$1,284"
44070,2,"$1,560"
44070,3,"$2,004"
44070,4,"$2,148"
44070,5,"$2,470"
44070,6,"$2,792"
44070,7,"$3,114"
44070,8,"$3,436"
44070,9,"$3,758"
44101,0,"$1,208"
44101,1,"$1,366"
44101,2,"$1,648"
44101,3,"$2,123"
44101,4,"$2,281"
44101,5,"$2,623"
44101,6,"$2,965"
44101,7,"$3,307"
44101,8,"$3,649"
44101,9,"$3,991"
44102,0,$924
44102,1,"$1,032"
44102,2,"$1,260"
44102,3,"$1,620"
44102,4,"$1,740"
44102,5,"$2,001"
44102,6,"$2,262"
44102,7,"$2,523"
44102,8,"$2,784"
44102,9,"$3,044"
44103,0,$824
44103,1,$937
44103,2,"$1,129"
44103,3,"$1,468"
44103,4,"$1,558"
44103,5,"$1,792"
44103,6,"$2,025"
44103,7,"$2,259"
44103,8,"$2,493"
44103,9,"$2,727"
44104,0,$824
44104,1,$937
44104,2,"$1,129"
44104,3,"$1,468"
44104,4,"$1,558"
44104,5,"$1,792"
44104,6,"$2,025"
44104,7,"$2,259"
44104,8,"$2,493"
44104,9,"$2,727"
44105,0,$824
44105,1,$937
44105,2,"$1,129"
44105,3,"$1,468"
44105,4,"$1,558"
44105,5,"$1,792"
44105,6,"$2,025"
44105,7,"$2,259"
44105,8,"$2,493"
44105,9,"$2,727"
44106,0,"$1,200"
44106,1,"$1,356"
44106,2,"$1,644"
44106,3,"$2,112"
44106,4,"$2,268"
44106,5,"$2,608"
44106,6,"$2,948"
44106,7,"$3,288"
44106,8,"$3,628"
44106,9,"$3,968"
44107,0,"$1,092"
44107,1,"$1,236"
44107,2,"$1,500"
44107,3,"$1,932"
44107,4,"$2,064"
44107,5,"$2,373"
44107,6,"$2,683"
44107,7,"$2,992"
44107,8,"$3,302"
44107,9,"$3,612"
44108,0,$824
44108,1,$937
44108,2,"$1,129"
44108,3,"$1,468"
44108,4,"$1,558"
44108,5,"$1,792"
44108,6,"$2,025"
44108,7,"$2,259"
44108,8,"$2,493"
44108,9,"$2,727"
44109,0,$835
44109,1,$937
44109,2,"$1,140"
44109,3,"$1,468"
44109,4,"$1,569"
44109,5,"$1,805"
44109,6,"$2,040"
44109,7,"$2,275"
44109,8,"$2,511"
44109,9,"$2,746"
44110,0,$835
44110,1,$948
44110,2,"$1,152"
44110,3,"$1,479"
44110,4,"$1,592"
44110,5,"$1,831"
44110,6,"$2,069"
44110,7,"$2,308"
44110,8,"$2,547"
44110,9,"$2,785"
44111,0,$960
44111,1,"$1,092"
44111,2,"$1,320"
44111,3,"$1,692"
44111,4,"$1,824"
44111,5,"$2,097"
44111,6,"$2,371"
44111,7,"$2,644"
44111,8,"$2,918"
44111,9,"$3,192"
44112,0,$835
44112,1,$937
44112,2,"$1,140"
44112,3,"$1,468"
44112,4,"$1,569"
44112,5,"$1,805"
44112,6,"$2,040"
44112,7,"$2,275"
44112,8,"$2,511"
44112,9,"$2,746"
44113,0,"$1,584"
44113,1,"$1,788"
44113,2,"$2,172"
44113,3,"$2,796"
44113,4,"$3,000"
44113,5,"$3,450"
44113,6,"$3,900"
44113,7,"$4,350"
44113,8,"$4,800"
44113,9,"$5,250"
44114,0,"$1,452"
44114,1,"$1,644"
44114,2,"$1,992"
44114,3,"$2,556"
44114,4,"$2,748"
44114,5,"$3,160"
44114,6,"$3,572"
44114,7,"$3,984"
44114,8,"$4,396"
44114,9,"$4,808"
44115,0,"$1,140"
44115,1,"$1,287"
44115,2,"$1,558"
44115,3,"$1,998"
44115,4,"$2,145"
44115,5,"$2,467"
44115,6,"$2,789"
44115,7,"$3,110"
44115,8,"$3,432"
44115,9,"$3,754"
44116,0,"$1,140"
44116,1,"$1,284"
44116,2,"$1,560"
44116,3,"$2,004"
44116,4,"$2,148"
44116,5,"$2,470"
44116,6,"$2,792"
44116,7,"$3,114"
44116,8,"$3,436"
44116,9,"$3,758"
44117,0,$876
44117,1,$996
44117,2,"$1,200"
44117,3,"$1,560"
44117,4,"$1,656"
44117,5,"$1,904"
44117,6,"$2,152"
44117,7,"$2,401"
44117,8,"$2,649"
44117,9,"$2,898"
44118,0,"$1,200"
44118,1,"$1,356"
44118,2,"$1,644"
44118,3,"$2,112"
44118,4,"$2,268"
44118,5,"$2,608"
44118,6,"$2,948"
44118,7,"$3,288"
44118,8,"$3,628"
44118,9,"$3,968"
44119,0,$903
44119,1,"$1,027"
44119,2,"$1,242"
44119,3,"$1,592"
44119,4,"$1,716"
44119,5,"$1,973"
44119,6,"$2,231"
44119,7,"$2,488"
44119,8,"$2,746"
44119,9,"$3,003"
44120,0,$996
44120,1,"$1,128"
44120,2,"$1,368"
44120,3,"$1,764"
44120,4,"$1,884"
44120,5,"$2,166"
44120,6,"$2,449"
44120,7,"$2,731"
44120,8,"$3,014"
44120,9,"$3,296"
44121,0,"$1,176"
44121,1,"$1,320"
44121,2,"$1,608"
44121,3,"$2,064"
44121,4,"$2,220"
44121,5,"$2,553"
44121,6,"$2,886"
44121,7,"$3,218"
44121,8,"$3,552"
44121,9,"$3,884"
44122,0,"$1,476"
44122,1,"$1,668"
44122,2,"$2,028"
44122,3,"$2,604"
44122,4,"$2,796"
44122,5,"$3,215"
44122,6,"$3,634"
44122,7,"$4,053"
44122,8,"$4,473"
44122,9,"$4,892"
44123,0,$994
44123,1,"$1,129"
44123,2,"$1,366"
44123,3,"$1,761"
44123,4,"$1,885"
44123,5,"$2,168"
44123,6,"$2,451"
44123,7,"$2,733"
44123,8,"$3,017"
44123,9,"$3,299"
44124,0,"$1,212"
44124,1,"$1,380"
44124,2,"$1,668"
44124,3,"$2,148"
44124,4,"$2,304"
44124,5,"$2,649"
44124,6,"$2,995"
44124,7,"$3,340"
44124,8,"$3,686"
44124,9,"$4,032"
44125,0,"$1,164"
44125,1,"$1,320"
44125,2,"$1,596"
44125,3,"$2,052"
44125,4,"$2,208"
44125,5,"$2,539"
44125,6,"$2,870"
44125,7,"$3,201"
44125,8,"$3,532"
44125,9,"$3,864"
44126,0,"$1,020"
44126,1,"$1,152"
44126,2,"$1,392"
44126,3,"$1,788"
44126,4,"$1,920"
44126,5,"$2,208"
44126,6,"$2,496"
44126,7,"$2,784"
44126,8,"$3,072"
44126,9,"$3,360"
44127,0,$824
44127,1,$937
44127,2,"$1,129"
44127,3,"$1,468"
44127,4,"$1,558"
44127,5,"$1,792"
44127,6,"$2,025"
44127,7,"$2,259"
44127,8,"$2,493"
44127,9,"$2,727"
44128,0,$973
44128,1,"$1,095"
44128,2,"$1,332"
44128,3,"$1,720"
44128,4,"$1,840"
44128,5,"$2,116"
44128,6,"$2,392"
44128,7,"$2,668"
44128,8,"$2,944"
44128,9,"$3,220"
44129,0,"$1,044"
44129,1,"$1,176"
44129,2,"$1,428"
44129,3,"$1,836"
44129,4,"$1,968"
44129,5,"$2,263"
44129,6,"$2,558"
44129,7,"$2,853"
44129,8,"$3,148"
44129,9,"$3,444"
44130,0,"$1,116"
44130,1,"$1,260"
44130,2,"$1,524"
44130,3,"$1,956"
44130,4,"$2,100"
44130,5,"$2,415"
44130,6,"$2,730"
44130,7,"$3,044"
44130,8,"$3,360"
44130,9,"$3,674"
44131,0,"$1,512"
44131,1,"$1,716"
44131,2,"$2,076"
44131,3,"$2,664"
44131,4,"$2,868"
44131,5,"$3,298"
44131,6,"$3,728"
44131,7,"$4,158"
44131,8,"$4,588"
44131,9,"$5,018"
44132,0,$982
44132,1,"$1,106"
44132,2,"$1,344"
44132,3,"$1,727"
44132,4,"$1,852"
44132,5,"$2,129"
44132,6,"$2,407"
44132,7,"$2,685"
44132,8,"$2,962"
44132,9,"$3,240"
44133,0,"$1,092"
44133,1,"$1,236"
44133,2,"$1,500"
44133,3,"$1,932"
44133,4,"$2,064"
44133,5,"$2,373"
44133,6,"$2,683"
44133,7,"$2,992"
44133,8,"$3,302"
44133,9,"$3,612"
44134,0,"$1,176"
44134,1,"$1,332"
44134,2,"$1,620"
44134,3,"$2,088"
44134,4,"$2,232"
44134,5,"$2,566"
44134,6,"$2,901"
44134,7,"$3,236"
44134,8,"$3,571"
44134,9,"$3,906"
44135,0,$982
44135,1,"$1,118"
44135,2,"$1,355"
44135,3,"$1,739"
44135,4,"$1,874"
44135,5,"$2,155"
44135,6,"$2,436"
44135,7,"$2,718"
44135,8,"$2,999"
44135,9,"$3,280"
44136,0,"$1,224"
44136,1,"$1,380"
44136,2,"$1,680"
44136,3,"$2,160"
44136,4,"$2,316"
44136,5,"$2,663"
44136,6,"$3,010"
44136,7,"$3,357"
44136,8,"$3,705"
44136,9,"$4,052"
44137,0,"$1,231"
44137,1,"$1,389"
44137,2,"$1,682"
44137,3,"$2,168"
44137,4,"$2,326"
44137,5,"$2,675"
44137,6,"$3,023"
44137,7,"$3,372"
44137,8,"$3,721"
44137,9,"$4,070"
44138,0,"$1,272"
44138,1,"$1,428"
44138,2,"$1,740"
44138,3,"$2,232"
44138,4,"$2,400"
44138,5,"$2,760"
44138,6,"$3,120"
44138,7,"$3,480"
44138,8,"$3,840"
44138,9,"$4,200"
44139,0,"$1,464"
44139,1,"$1,656"
44139,2,"$2,016"
44139,3,"$2,592"
44139,4,"$2,784"
44139,5,"$3,201"
44139,6,"$3,619"
44139,7,"$4,036"
44139,8,"$4,454"
44139,9,"$4,872"
44140,0,"$1,428"
44140,1,"$1,608"
44140,2,"$1,956"
44140,3,"$2,520"
44140,4,"$2,700"
44140,5,"$3,105"
44140,6,"$3,510"
44140,7,"$3,914"
44140,8,"$4,320"
44140,9,"$4,724"
44141,0,"$1,584"
44141,1,"$1,788"
44141,2,"$2,172"
44141,3,"$2,784"
44141,4,"$2,988"
44141,5,"$3,436"
44141,6,"$3,884"
44141,7,"$4,332"
44141,8,"$4,780"
44141,9,"$5,228"
44142,0,"$1,050"
44142,1,"$1,185"
44142,2,"$1,445"
44142,3,"$1,863"
44142,4,"$1,998"
44142,5,"$2,298"
44142,6,"$2,598"
44142,7,"$2,897"
44142,8,"$3,197"
44142,9,"$3,497"
44143,0,$996
44143,1,"$1,128"
44143,2,"$1,368"
44143,3,"$1,764"
44143,4,"$1,884"
44143,5,"$2,166"
44143,6,"$2,449"
44143,7,"$2,731"
44143,8,"$3,014"
44143,9,"$3,296"
44144,0,$892
44144,1,"$1,016"
44144,2,"$1,231"
44144,3,"$1,581"
44144,4,"$1,694"
44144,5,"$1,948"
44144,6,"$2,202"
44144,7,"$2,456"
44144,8,"$2,710"
44144,9,"$2,964"
44145,0,"$1,464"
44145,1,"$1,656"
44145,2,"$2,004"
44145,3,"$2,580"
44145,4,"$2,760"
44145,5,"$3,174"
44145,6,"$3,588"
44145,7,"$4,002"
44145,8,"$4,416"
44145,9,"$4,830"
44146,0,"$1,080"
44146,1,"$1,212"
44146,2,"$1,476"
44146,3,"$1,896"
44146,4,"$2,040"
44146,5,"$2,346"
44146,6,"$2,652"
44146,7,"$2,958"
44146,8,"$3,264"
44146,9,"$3,570"
44147,0,"$1,128"
44147,1,"$1,272"
44147,2,"$1,548"
44147,3,"$1,992"
44147,4,"$2,136"
44147,5,"$2,456"
44147,6,"$2,776"
44147,7,"$3,097"
44147,8,"$3,417"
44147,9,"$3,738"
44149,0,"$1,344"
44149,1,"$1,524"
44149,2,"$1,848"
44149,3,"$2,376"
44149,4,"$2,544"
44149,5,"$2,925"
44149,6,"$3,307"
44149,7,"$3,688"
44149,8,"$4,070"
44149,9,"$4,452"
44181,0,$982
44181,1,"$1,118"
44181,2,"$1,355"
44181,3,"$1,739"
44181,4,"$1,874"
44181,5,"$2,155"
44181,6,"$2,436"
44181,7,"$2,718"
44181,8,"$2,999"
44181,9,"$3,280"
